name,state,acronym,short_name
University of Arkansas Community College-Morrilton,AR,UACCM,UACCM
Philander Smith University,AR,PSU,PSU
Phillips Community College of the University of Arkansas,AR,PCCUA,PCCUA
Southeast Arkansas College,AR,SAC,SAC
University of Aesthetics & Cosmetology,AR,UAC,UAC
University of Arkansas-Pulaski Technical College,AR,UAPTC,UAPTC
University of Arkansas Hope-Texarkana,AR,UAHT,UAHT
University of Arkansas Community College Rich Mountain,AR,UACCRM,UACCRM
Paul Mitchell the School-Arkansas,AR,PMSA,PMSA
Searcy Beauty College,AR,SBC,SBC
Shorter College,AR,SC,SC
Williams Baptist University,AR,WBU,WBU
South Arkansas College,AR,SAC,SAC
Southern Arkansas University Main Campus,AR,SAUMC,SAUMC
Southern Arkansas University Tech,AR,SAUT,SAUT
Velvatex College of Beauty Culture,AR,VCBC,VCBC
University of Arkansas-Fort Smith,AR,UAFS,UAFS
Academy of Art University,CA,AAU,AAU
Academy of Chinese Culture and Health Sciences,CA,ACCHS,ACCHS
College of Alameda,CA,CA,CA
Allan Hancock College,CA,AHC,AHC
Berkeley School of Theology,CA,BST,BST
American Film Institute Conservatory,CA,AFIC,AFIC
American Beauty College,CA,ABC,ABC
American Career College-Los Angeles,CA,ACCLA,ACCLA
American River College,CA,ARC,ARC
Antelope Valley Community College District,CA,AVCCD,AVCCD
Art Center College of Design,CA,ACCD,ACCD
Associated Technical College-Los Angeles,CA,ATCLA,ATCLA
Azusa Pacific University,CA,APU,APU
Bakersfield College,CA,BC,BC
Barstow Community College,CA,BCC,BCC
Bellus Academy-Chula Vista,CA,BACV,BACV
Bethesda University,CA,BU,BU
Biola University,CA,BU,BU
Brownson Technical School,CA,BTS,BTS
Bryan University,AZ,BU,BU
Butte College,CA,BC,BC
California Institute of Integral Studies,CA,CIIS,CIIS
Cabrillo College,CA,CC,CC
California Baptist University,CA,CBU,CBU
California College of the Arts,CA,CCA,CCA
University of California College of the Law-San Francisco,CA,UCCLSF,UCCLSF
California Institute of Technology,CA,CIT,CIT
California Lutheran University,CA,CLU,CLU
California Polytechnic State University-San Luis Obispo,CA,CPSUSLO,CPSUSLO
Alliant International University-San Diego,CA,AIUSD,AIUSD
California State University-Bakersfield,CA,CSUB,CSUB
California State University-Stanislaus,CA,CSUS,CSUS
California State University-San Bernardino,CA,CSUSB,CSUSB
California State Polytechnic University-Pomona,CA,CSPUP,CSPUP
California State University-Chico,CA,CSUC,CSUC
California State University-Dominguez Hills,CA,CSUDH,CSUDH
California State University-Fresno,CA,CSUF,CSUF
California State University-Fullerton,CA,CSUF,CSUF
California State University-East Bay,CA,CSUEB,CSUEB
California State University-Long Beach,CA,CSULB,CSULB
California State University-Los Angeles,CA,CSULA,CSULA
California State University-Northridge,CA,CSUN,CSUN
California State University-Sacramento,CA,CSUS,CSUS
University of California-Berkeley,CA,UCB,UCB
University of California-Davis,CA,UCD,UCD
University of California-Irvine,CA,UCI,UCI
University of California-Los Angeles,CA,UCLA,UCLA
University of California-Riverside,CA,UCR,UCR
University of California-San Diego,CA,UCSD,UCSD
University of California-San Francisco,CA,UCSF,UCSF
University of California-Santa Barbara,CA,UCSB,UCSB
University of California-Santa Cruz,CA,UCSC,UCSC
Sofia University,CA,SU,SU
California Beauty College,CA,CBC,CBC
Haven University,CA,HU,HU
California Hair Design Academy,CA,CHDA,CHDA
California Institute of the Arts,CA,CIA,CIA
Cal Poly Maritime Academy,CA,CPMA,CPMA
California Western School of Law,CA,CWSL,CWSL
Canada College,CA,CC,CC
College of the Canyons,CA,CC,CC
Career Academy of Beauty,CA,CAB,CAB
Casa Loma College-Los Angeles,CA,CLCLA,CLCLA
CET-San Diego,CA,CSD,CSD
CET-San Jose,CA,CSJ,CSJ
CET-El Centro,CA,CEC,CEC
CET-Colton,CA,CC,CC
CET-Watsonville,CA,CW,CW
CET-Salinas,CA,CS,CS
Cerritos College,CA,CC,CC
Cerro Coso Community College,CA,CCCC,CCCC
Chabot College,CA,CC,CC
Chaffey College,CA,CC,CC
Chapman University,CA,CU,CU
Charles R Drew University of Medicine and Science,CA,CRDUMS,CRDUMS
Concordia University-Irvine,CA,CUI,CUI
San Diego Christian College,CA,SDCC,SDCC
Church Divinity School of the Pacific,CA,CDSP,CDSP
Citrus College,CA,CC,CC
Citrus Heights Beauty College,CA,CHBC,CHBC
City College of San Francisco,CA,CCSF,CCSF
Claremont Graduate University,CA,CGU,CGU
Claremont McKenna College,CA,CMC,CMC
Milan Institute-Visalia,CA,MIV,MIV
Clovis Adult Education,CA,CAE,CAE
Coastline Community College,CA,CCC,CCC
University of Silicon Valley,CA,USV,USV
Coba Academy,CA,CA,CA
Western University of Health Sciences,CA,WUHS,WUHS
Columbia College,CA,CC,CC
Compton College,CA,CC,CC
Contra Costa College,CA,CCC,CCC
Cosumnes River College,CA,CRC,CRC
Crafton Hills College,CA,CHC,CHC
Cuesta College,CA,CC,CC
Cuyamaca College,CA,CC,CC
Cypress College,CA,CC,CC
De Anza College,CA,DAC,DAC
International School of Beauty Inc,CA,ISBI,ISBI
College of the Desert,CA,CD,CD
Design Institute of San Diego,CA,DISD,DISD
Diablo Valley College,CA,DVC,DVC
Dominican University of California,CA,DUC,DUC
Dominican School of Philosophy & Theology,CA,DSPT,DSPT
East Los Angeles College,CA,ELAC,ELAC
El Camino Community College District,CA,ECCCD,ECCCD
Evergreen Valley College,CA,EVC,EVC
Feather River Community College District,CA,FRCCD,FRCCD
Federico Beauty Institute,CA,FBI,FBI
Fielding Graduate University,CA,FGU,FGU
Five Branches University,CA,FBU,FBU
Redondo Beach Beauty College,CA,RBBC,RBBC
Foothill College,CA,FC,FC
Franciscan School of Theology,CA,FST,FST
Fredrick and Charles Beauty College,CA,FCBC,FCBC
Fresno City College,CA,FCC,FCC
Fresno Pacific University,CA,FPU,FPU
Fuller Theological Seminary,CA,FTS,FTS
Fullerton College,CA,FC,FC
Gavilan College,CA,GC,GC
Gemological Institute of America-Carlsbad,CA,GIAC,GIAC
Glendale Career College,CA,GCC,GCC
Golden Gate University,CA,GGU,GGU
Golden West College,CA,GWC,GWC
Graduate Theological Union,CA,GTU,GTU
Grossmont College,CA,GC,GC
Salon Success Academy-Riverside,CA,SSAR,SSAR
Hartnell College,CA,HC,HC
Harvey Mudd College,CA,HMC,HMC
Hilltop Beauty School,CA,HBS,HBS
Pacifica Graduate Institute,CA,PGI,PGI
California State Polytechnic University-Humboldt,CA,CSPUH,CSPUH
Humphreys University,CA,HU,HU
Imperial Valley College,CA,IVC,IVC
Institute for Business and Technology,CA,IBT,IBT
Interior Designers Institute,CA,IDI,IDI
Irvine Valley College,CA,IVC,IVC
Bellus Academy-El Cajon,CA,BAEC,BAEC
American Jewish University,CA,AJU,AJU
Reedley College,CA,RC,RC
Life Pacific University,CA,LPU,LPU
University of La Verne,CA,ULV,ULV
Laguna College of Art and Design,CA,LCAD,LCAD
Lake Tahoe Community College,CA,LTCC,LTCC
Lancaster Beauty School,CA,LBS,LBS
Laney College,CA,LC,LC
Lassen Community College,CA,LCC,LCC
Latin American Bible Institute,CA,LABI,LABI
Life Chiropractic College West,CA,LCCW,LCCW
Lincoln University,CA,LU,LU
Southern California Seminary,CA,SCS,SCS
La Sierra University,CA,LSU,LSU
Loma Linda University,CA,LLU,LLU
Long Beach City College,CA,LBCC,LBCC
Southern California University of Health Sciences,CA,SCUHS,SCUHS
Los Angeles Harbor College,CA,LAHC,LAHC
Los Angeles Pierce College,CA,LAPC,LAPC
Los Angeles Southwest College,CA,LASC,LASC
Los Angeles Trade Technical College,CA,LATTC,LATTC
Los Angeles Valley College,CA,LAVC,LAVC
The Master's University and Seminary,CA,MUS,MUS
Los Angeles City College,CA,LACC,LACC
Los Angeles County College of Nursing and Allied Health,CA,LACCNAH,LACCNAH
Los Angeles Mission College,CA,LAMC,LAMC
Los Medanos College,CA,LMC,LMC
Loyola Marymount University,CA,LMU,LMU
Lu Ross Academy,CA,LRA,LRA
Lyle's College of Beauty,CA,LCB,LCB
Lyle's College of  Beauty,CA,LCB,LCB
Lytles Redwood Empire Beauty College,CA,LREBC,LREBC
MTI College,CA,MC,MC
College of Marin,CA,CM,CM
Mendocino College,CA,MC,MC
Menlo College,CA,MC,MC
Merced College,CA,MC,MC
Merritt College,CA,MC,MC
Northeastern University Oakland,CA,NUO,NUO
MiraCosta College,CA,MC,MC
Mission College,CA,MC,MC
Modern Beauty Academy,CA,MBA,MBA
Modesto Junior College,CA,MJC,MJC
Moler Barber College,CA,MBC,MBC
Middlebury Institute of International Studies at Monterey,CA,MIISM,MIISM
Monterey Peninsula College,CA,MPC,MPC
Moorpark College,CA,MC,MC
Mt San Antonio College,CA,MSAC,MSAC
Mount Saint Mary's University,CA,MSMU,MSMU
Mt San Jacinto Community College District,CA,MSJCCD,MSJCCD
Musicians Institute,CA,MI,MI
Napa Valley College,CA,NVC,NVC
National Holistic Institute,CA,NHI,NHI
National University,CA,NU,NU
Naval Postgraduate School,CA,NPS,NPS
Newschool of Architecture and Design,CA,NAD,NAD
North Adrian's College of Beauty Inc,CA,NACBI,NACBI
North-West College-Pomona,CA,NWCP,NWCP
North-West College-West Covina,CA,NWCWC,NWCWC
North-West College-Van Nuys,CA,NWCVN,NWCVN
San Francisco Bay University,CA,SFBU,SFBU
Notre Dame de Namur University,CA,NDDNU,NDDNU
Occidental College,CA,OC,OC
Ohlone College,CA,OC,OC
Orange Coast College,CA,OCC,OCC
Otis College of Art and Design,CA,OCAD,OCAD
Oxnard College,CA,OC,OC
Hope International University,CA,HIU,HIU
Concorde Career College-San Diego,CA,CCCSD,CCCSD
Palo Alto University,CA,PAU,PAU
Pacific Oaks College,CA,POC,POC
Pacific School of Religion,CA,PSR,PSR
Pacific Union College,CA,PUC,PUC
University of the Pacific,CA,UP,UP
Palo Verde College,CA,PVC,PVC
Palomar College,CA,PC,PC
Pasadena City College,CA,PCC,PCC
Pepperdine University,CA,PU,PU
Pitzer College,CA,PC,PC
Point Loma Nazarene University,CA,PLNU,PLNU
Pomona College,CA,PC,PC
Porterville College,CA,PC,PC
Professional Institute of Beauty,CA,PIB,PIB
Santa Ana College,CA,SAC,SAC
RAND School of Public Policy,CA,RSPP,RSPP
Shasta School of Cosmetology,CA,SSC,SSC
University of Redlands,CA,UR,UR
College of the Redwoods,CA,CR,CR
Salon Success Academy-Upland,CA,SSAU,SSAU
Salon Success Academy-Corona,CA,SSAC,SSAC
Rio Hondo College,CA,RHC,RHC
Riverside City College,CA,RCC,RCC
Dongguk University Los Angeles,CA,DULA,DULA
Sacramento City College,CA,SCC,SCC
Saddleback College,CA,SC,SC
Samuel Merritt University,CA,SMU,SMU
San Diego City College,CA,SDCC,SDCC
San Diego Mesa College,CA,SDMC,SDMC
San Diego Miramar College,CA,SDMC,SDMC
San Diego State University,CA,SDSU,SDSU
University of San Diego,CA,USD,USD
San Francisco Conservatory of Music,CA,SFCM,SFCM
San Francisco State University,CA,SFSU,SFSU
University of San Francisco,CA,USF,USF
San Joaquin College of Law,CA,SJCL,SJCL
San Joaquin Delta College,CA,SJDC,SJDC
San Joaquin Valley College-Visalia,CA,SJVCV,SJVCV
San Joaquin Valley College-Bakersfield,CA,SJVCB,SJVCB
William Jessup University,CA,WJU,WJU
San Jose City College,CA,SJCC,SJCC
San Jose State University,CA,SJSU,SJSU
College of San Mateo,CA,CSM,CSM
Santa Barbara City College,CA,SBCC,SBCC
Santa Clara University,CA,SCU,SCU
Santa Monica College,CA,SMC,SMC
Santa Rosa Junior College,CA,SRJC,SRJC
Saybrook University,CA,SU,SU
Scripps College,CA,SC,SC
College of the Sequoias,CA,CS,CS
Shasta Bible College and Graduate School,CA,SBCGS,SBCGS
Shasta College,CA,SC,SC
Sierra College,CA,SC,SC
Sierra College of Beauty,CA,SCB,SCB
Trinity Law School,CA,TLS,TLS
Simpson University,CA,SU,SU
College of the Siskiyous,CA,CS,CS
Charles A Jones Career and Education Center,CA,CJCEC,CJCEC
Skyline College,CA,SC,SC
San Bernardino Valley College,CA,SBVC,SBVC
Saint Mary's College of California,CA,SMCC,SMCC
Solano Community College,CA,SCC,SCC
Sonoma State University,CA,SSU,SSU
South Baylo University,CA,SBU,SBU
South Coast College,CA,SCC,SCC
Vanguard University of Southern California,CA,VUSC,VUSC
Concorde Career College-Garden Grove,CA,CCCGG,CCCGG
Southwestern College,CA,SC,SC
Starr King School for the Ministry,CA,SKSM,SKSM
Marshall B Ketchum University,CA,MBKU,MBKU
Southern California Institute of Architecture,CA,SCIA,SCIA
University of Southern California,CA,USC,USC
Southwestern Law School,CA,SLS,SLS
Taft College,CA,TC,TC
Claremont School of Theology,CA,CST,CST
Thomas Aquinas College,CA,TAC,TAC
Epic Bible College & Graduate School,CA,EBCGS,EBCGS
UEI College-Huntington Park,CA,UCHP,UCHP
Concorde Career College-San Bernardino,CA,CCCSB,CCCSB
Concorde Career College-North Hollywood,CA,CCCNH,CCCNH
Ventura College,CA,VC,VC
The Colleges of Law at Ventura,CA,CLV,CLV
Bridges Beauty College,CA,BBC,BBC
Victor Valley College,CA,VVC,VVC
Berkeley City College,CA,BCC,BCC
Walden University,MN,WU,WU
Waynes College of Beauty,CA,WCB,WCB
Coalinga College,CA,CC,CC
West Los Angeles College,CA,WLAC,WLAC
West Valley College,CA,WVC,WVC
Carrington College-Sacramento,CA,CCS,CCS
Westminster Theological Seminary in California,CA,WTSC,WTSC
Westmont College,CA,WC,WC
Whittier College,CA,WC,WC
Woodbury University,CA,WU,WU
The Wright Institute,CA,WI,WI
Thomas Jefferson School of Law,CA,TJSL,TJSL
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,CA,YOECWCTS,YOECWCTS
Yuba College,CA,YC,YC
Adams State University,CO,ASU,ASU
Aims Community College,CO,ACC,ACC
