name,state,acronym,short_name
North Central Michigan College,MI,NCMC,NCMC
Northern Michigan University,MI,NMU,NMU
Northwestern Michigan College,MI,NMC,NMC
Northwood University,MI,NU,NU
Oakland Community College,MI,OCC,OCC
Oakland University,MI,OU,OU
The University of Olivet,MI,UO,UO
Port Huron Cosmetology College,MI,PHCC,PHCC
Kuyper College,MI,KC,KC
Ross Medical Education Center-Lansing,MI,RMECL,RMECL
Ross Medical Education Center-Warren,MI,RMECW,RMECW
Ross Medical Education Center-Flint,MI,RMECF,RMECF
Sacred Heart Major Seminary,MI,SHMS,SHMS
Saginaw Valley State University,MI,SVSU,SVSU
Schoolcraft Community College District,MI,SCCD,SCCD
Siena Heights University,MI,SHU,SHU
St Clair County Community College,MI,SCCCC,SCCCC
Southwestern Michigan College,MI,SMC,SMC
Spring Arbor University,MI,SAU,SAU
Michigan Career and Technical Institute,MI,MCTI,MCTI
Thomas M Cooley Law School,MI,TMCLS,TMCLS
Twin City Beauty College,MI,TCBC,TCBC
Walsh College,MI,WC,WC
Washtenaw Community College,MI,WCC,WCC
Wayne County Community College District,MI,WCCCD,WCCCD
Wayne State University,MI,WSU,WSU
West Shore Community College,MI,WSCC,WSCC
Paul Mitchell the School-Grand Rapids,MI,PMSGR,PMSGR
Western Michigan University,MI,WMU,WMU
Western Theological Seminary,MI,WTS,WTS
Academy College,MN,AC,AC
Alexandria Technical & Community College,MN,ATCC,ATCC
Anoka Technical College,MN,ATC,ATC
Anoka-Ramsey Community College,MN,ARCC,ARCC
Augsburg University,MN,AU,AU
Riverland Community College,MN,RCC,RCC
Northwest Technical College,MN,NTC,NTC
Bemidji State University,MN,BSU,BSU
Bethany Lutheran College,MN,BLC,BLC
Central Lakes College-Brainerd,MN,CLCB,CLCB
Carleton College,MN,CC,CC
Concordia College at Moorhead,MN,CCM,CCM
Concordia University-Saint Paul,MN,CUSP,CUSP
Dakota County Technical College,MN,DCTC,DCTC
Martin Luther College,MN,MLC,MLC
Lake Superior College,MN,LSC,LSC
Minnesota State Community and Technical College,MN,MSCTC,MSCTC
Minnesota West Community and Technical College,MN,MWCTC,MWCTC
Gustavus Adolphus College,MN,GAC,GAC
Hamline University,MN,HU,HU
Hazelden Betty Ford Graduate School,MN,HBFGS,HBFGS
Hennepin Technical College,MN,HTC,HTC
Minnesota North College,MN,MNC,MNC
Aveda Arts & Sciences Institute Minneapolis,MN,AASIM,AASIM
Inver Hills Community College,MN,IHCC,IHCC
Luther Seminary,MN,LS,LS
Macalester College,MN,MC,MC
South Central College,MN,SCC,SCC
Minnesota State University-Mankato,MN,MSUM,MSUM
Mayo Clinic College of Medicine and Science,MN,MCCMS,MCCMS
Metropolitan State University,MN,MSU,MSU
University of Minnesota-Twin Cities,MN,UMTC,UMTC
University of Minnesota-Crookston,MN,UMC,UMC
Minneapolis College of Art and Design,MN,MCAD,MCAD
Minneapolis Community and Technical College,MN,MCTC,MCTC
Herzing University-Minneapolis,MN,HUM,HUM
University of Minnesota-Duluth,MN,UMD,UMD
University of Minnesota-Morris,MN,UMM,UMM
Model College of Hair Design,MN,MCHD,MCHD
Minnesota State University Moorhead,MN,MSUM,MSUM
North Hennepin Community College,MN,NHCC,NHCC
Normandale Community College,MN,NCC,NCC
North Central University,MN,NCU,NCU
Northland Community and Technical College,MN,NCTC,NCTC
University of Northwestern-St Paul,MN,UNSP,UNSP
Northwestern Health Sciences University,MN,NHSU,NHSU
Oak Hills Christian College,MN,OHCC,OHCC
Pine Technical & Community College,MN,PTCC,PTCC
Rochester Community and Technical College,MN,RCTC,RCTC
College of Saint Benedict,MN,CSB,CSB
St Cloud Technical and Community College,MN,SCTCC,SCTCC
Saint Cloud State University,MN,SCSU,SCSU
Saint Johns University,MN,SJU,SJU
Saint Mary's University of Minnesota,MN,SMUM,SMUM
St Olaf College,MN,SOC,SOC
Crown College,MN,CC,CC
The College of Saint Scholastica,MN,CSS,CSS
University of St Thomas,MN,UST,UST
Empire Beauty School-Bloomington,MN,EBSB,EBSB
St Catherine University,MN,SCU,SCU
Rasmussen University-Minnesota,MN,RUM,RUM
Saint Paul College,MN,SPC,SPC
Southwest Minnesota State University,MN,SMSU,SMSU
Summit Academy Opportunities Industrialization Center,MN,SAOIC,SAOIC
United Theological Seminary of the Twin Cities,MN,UTSTC,UTSTC
Dunwoody College of Technology,MN,DCT,DCT
Ridgewater College,MN,RC,RC
Minnesota State College Southeast,MN,MSCS,MSCS
Winona State University,MN,WSU,WSU
Mitchell Hamline School of Law,MN,MHSL,MHSL
Century College,MN,CC,CC
Alcorn State University,MS,ASU,ASU
Belhaven University,MS,BU,BU
Blue Mountain Christian University,MS,BMCU,BMCU
Chris Beauty College,MS,CBC,CBC
Coahoma Community College,MS,CCC,CCC
Copiah-Lincoln Community College,MS,CLCC,CLCC
Delta State University,MS,DSU,DSU
East Central Community College,MS,ECCC,ECCC
East Mississippi Community College,MS,EMCC,EMCC
Fosters Cosmetology College,MS,FCC,FCC
Academy of Hair Design-Grenada,MS,AHDG,AHDG
Hinds Community College,MS,HCC,HCC
Holmes Community College,MS,HCC,HCC
Itawamba Community College,MS,ICC,ICC
Jackson State University,MS,JSU,JSU
Jones County Junior College,MS,JCJC,JCJC
Meridian Community College,MS,MCC,MCC
Millsaps College,MS,MC,MC
Mississippi Delta Community College,MS,MDCC,MDCC
University of Mississippi,MS,UM,UM
Mississippi University for Women,MS,MUW,MUW
Mississippi Valley State University,MS,MVSU,MVSU
Mississippi Christian University,MS,MCU,MCU
Hatfield's Mississippi College of Beauty Culture,MS,HMCBC,HMCBC
Mississippi Gulf Coast Community College,MS,MGCCC,MGCCC
Mississippi State University,MS,MSU,MSU
Northeast Mississippi Community College,MS,NMCC,NMCC
Northwest Mississippi Community College,MS,NMCC,NMCC
Pearl River Community College,MS,PRCC,PRCC
Rust College,MS,RC,RC
Southeastern Baptist College,MS,SBC,SBC
Southwest Mississippi Community College,MS,SMCC,SMCC
University of Southern Mississippi,MS,USM,USM
Tougaloo College,MS,TC,TC
Vaughn Beauty College,MS,VBC,VBC
Wesley Biblical Seminary,MS,WBS,WBS
William Carey University,MS,WCU,WCU
Aquinas Institute of Theology,MO,AIT,AIT
Avila University,MO,AU,AU
Mission University,MO,MU,MU
House of Heavilin Beauty College-Blue Springs,MO,HHBCBS,HHBCBS
Cox College,MO,CC,CC
Calvary University,MO,CU,CU
Cape Girardeau Career and Technology Center,MO,CGCTC,CGCTC
Central Christian College of the Bible,MO,CCCB,CCCB
Central Methodist University-College of Liberal Arts and Sciences,MO,CMUCLAS,CMUCLAS
University of Central Missouri,MO,UCM,UCM
Grand River Technical School,MO,GRTS,GRTS
Cleveland University-Kansas City,KS,CUKC,CUKC
Conception Seminary College,MO,CSC,CSC
Concordia Seminary,MO,CS,CS
Cottey College,MO,CC,CC
Covenant Theological Seminary,MO,CTS,CTS
Crowder College,MO,CC,CC
Culver-Stockton College,MO,CSC,CSC
Drury University,MO,DU,DU
East Central College,MO,ECC,ECC
Eden Theological Seminary,MO,ETS,ETS
Pinnacle Career Institute,MO,PCI,PCI
Evangel University,MO,EU,EU
Four Rivers Career Center,MO,FRCC,FRCC
Ozarks Technical Community College,MO,OTCC,OTCC
Hannibal-LaGrange University,MO,HLU,HLU
Harris-Stowe State University,MO,HSSU,HSSU
House of Heavilin Beauty College-Kansas City,MO,HHBCKC,HHBCKC
Summit Salon Academy Kansas City,MO,SSAKC,SSAKC
Jefferson College,MO,JC,JC
Paul Mitchell the School-Missouri Columbia,MO,PMSMC,PMSMC
Barnes-Jewish College Goldfarb School of Nursing,MO,BJCGSN,BJCGSN
Kansas City Art Institute,MO,KCAI,KCAI
Kenrick Glennon Seminary,MO,KGS,KGS
A T Still University of Health Sciences,MO,TSUHS,TSUHS
Lex La-Ray Technical Center,MO,LLRTC,LLRTC
Lindenwood University,MO,LU,LU
State Technical College of Missouri,MO,STCM,STCM
Logan University,MO,LU,LU
Metropolitan Community College-Kansas City,MO,MCCKC,MCCKC
Maryville University of Saint Louis,MO,MUSL,MUSL
Missouri College of Cosmetology and Esthetics,MO,MCCE,MCCE
Midwest Institute,MO,MI,MI
Midwestern Baptist Theological Seminary,MO,MBTS,MBTS
Mineral Area College,MO,MAC,MAC
Missouri Baptist University,MO,MBU,MBU
Missouri Southern State University,MO,MSSU,MSSU
Missouri Valley College,MO,MVC,MVC
Missouri Western State University,MO,MWSU,MWSU
University of Missouri-Columbia,MO,UMC,UMC
University of Missouri-Kansas City,MO,UMKC,UMKC
Missouri University of Science and Technology,MO,MUST,MUST
University of Missouri-St Louis,MO,UMSL,UMSL
Moberly Area Community College,MO,MACC,MACC
Nazarene Theological Seminary,MO,NTS,NTS
Neosho Beauty and Barber College,MO,NBBC,NBBC
Truman State University,MO,TSU,TSU
Northwest Missouri State University,MO,NMSU,NMSU
Ozark Christian College,MO,OCC,OCC
College of the Ozarks,MO,CO,CO
Park University,MO,PU,PU
Stevens-The Institute of Business & Arts,MO,SIBA,SIBA
Ranken Technical College,MO,RTC,RTC
Research College of Nursing,MO,RCN,RCN
Rockhurst University,MO,RU,RU
Saint Louis University,MO,SLU,SLU
Salem College of Hairstyling,MO,SCH,SCH
University of Health Sciences and Pharmacy in St. Louis,MO,UHSPSL,UHSPSL
Saint Louis Community College,MO,SLCC,SLCC
Saint Paul School of Theology,KS,SPST,SPST
Southwest Baptist University,MO,SBU,SBU
Missouri State University-West Plains,MO,MSUWP,MSUWP
St Louis College of Health Careers-St Louis,MO,SLCHCSL,SLCHCSL
State Fair Community College,MO,SFCC,SFCC
Stephens College,MO,SC,SC
Southeast Missouri State University,MO,SMSU,SMSU
Missouri State University-Springfield,MO,MSUS,MSUS
Three Rivers College,MO,TRC,TRC
North Central Missouri College,MO,NCMC,NCMC
Kansas City University,MO,KCU,KCU
Washington University in St Louis,MO,WUSL,WUSL
Webster University,MO,WU,WU
Westminster College,MO,WC,WC
William Jewell College,MO,WJC,WJC
William Woods University,MO,WWU,WWU
Academy of Cosmetology Inc,MT,ACI,ACI
Blackfeet Community College,MT,BCC,BCC
Highlands College of Montana Tech,MT,HCMT,HCMT
Crevier's Academy of Cosmetology Arts,MT,CACA,CACA
Carroll College,MT,CC,CC
Dawson Community College,MT,DCC,DCC
Chief Dull Knife College,MT,CDKC,CDKC
Montana State University Billings,MT,MSUB,MSUB
Flathead Valley Community College,MT,FVCC,FVCC
Aaniiih Nakoda College,MT,ANC,ANC
Fort Peck Community College,MT,FPCC,FPCC
Great Falls College Montana State University,MT,GFCMSU,GFCMSU
University of Providence,MT,UP,UP
Helena College University of Montana,MT,HCUM,HCUM
Little Big Horn College,MT,LBHC,LBHC
Miles Community College,MT,MCC,MCC
Montana Technological University,MT,MTU,MTU
Montana State University,MT,MSU,MSU
The University of Montana,MT,UM,UM
Montana State University-Northern,MT,MSUN,MSUN
Rocky Mountain College,MT,RMC,RMC
Salish Kootenai College,MT,SKC,SKC
The University of Montana-Western,MT,UMW,UMW
Bellevue University,NE,BU,BU
Clarkson College,NE,CC,CC
Bryan College of Health Sciences,NE,BCHS,BCHS
Central Community College,NE,CCC,CCC
Chadron State College,NE,CSC,CSC
College of Hair Design-Downtown,NE,CHDD,CHDD
Concordia University-Nebraska,NE,CUN,CUN
Creighton University,NE,CU,CU
Doane University,NE,DU,DU
Hastings College,NE,HC,HC
CHI Health School of Radiologic Technology,NE,CHSRT,CHSRT
Joseph's College Cosmetology,NE,JCC,JCC
University of Nebraska at Kearney,NE,UNK,UNK
Nebraska Methodist College of Nursing & Allied Health,NE,NMCNAH,NMCNAH
Metropolitan Community College Area,NE,MCCA,MCCA
Mid-Plains Community College,NE,MPCC,MPCC
Midland University,NE,MU,MU
University of Nebraska at Omaha,NE,UNO,UNO
Nebraska Indian Community College,NE,NICC,NICC
University of Nebraska Medical Center,NE,UNMC,UNMC
Nebraska Wesleyan University,NE,NWU,NWU
University of Nebraska-Lincoln,NE,UNL,UNL
Northeast Community College,NE,NCC,NCC
Peru State College,NE,PSC,PSC
Summit Christian College,NE,SCC,SCC
College of Saint Mary,NE,CSM,CSM
Southeast Community College Area,NE,SCCA,SCCA
Union Adventist University,NE,UAU,UAU
Nebraska College of Technical Agriculture,NE,NCTA,NCTA
Wayne State College,NE,WSC,WSC
Western Nebraska Community College,NE,WNCC,WNCC
York University,NE,YU,YU
Academy of Hair Design-Las Vegas,NV,AHDLV,AHDLV
College of Southern Nevada,NV,CSN,CSN
Las Vegas College,NV,LVC,LVC
University of Nevada-Las Vegas,NV,UNLV,UNLV
University of Nevada-Reno,NV,UNR,UNR
Great Basin College,NV,GBC,GBC
Truckee Meadows Community College,NV,TMCC,TMCC
Western Nevada College,NV,WNC,WNC
Colby-Sawyer College,NH,CSC,CSC
Dartmouth College,NH,DC,DC
Empire Beauty School-Laconia,NH,EBSL,EBSL
Empire Beauty School-Somersworth,NH,EBSS,EBSS
Franklin Pierce University,NH,FPU,FPU
University of New Hampshire-Franklin Pierce School of Law,NH,UNHFPSL,UNHFPSL
Keene Beauty Academy,NH,KBA,KBA
New England College,NH,NEC,NEC
Southern New Hampshire University,NH,SNHU,SNHU
University of New Hampshire-Main Campus,NH,UNHMC,UNHMC
Keene State College,NH,KSC,KSC
University of New Hampshire at Manchester,NH,UNHM,UNHM
Plymouth State University,NH,PSU,PSU
NHTI-Concord's Community College,NH,NCCC,NCCC
White Mountains Community College,NH,WMCC,WMCC
River Valley Community College,NH,RVCC,RVCC
Lakes Region Community College,NH,LRCC,LRCC
Manchester Community College,NH,MCC,MCC
Nashua Community College,NH,NCC,NCC
Great Bay Community College,NH,GBCC,GBCC
Paul Mitchell the School-Portsmouth,NH,PMSP,PMSP
Rivier University,NH,RU,RU
Saint Anselm College,NH,SAC,SAC
St Joseph School of Nursing,NH,SJSN,SJSN
University of New Hampshire College of Professional Studies Online,NH,UNHCPSO,UNHCPSO
Thomas More College of Liberal Arts,NH,TMCLA,TMCLA
Eastwick College-Hackensack,NJ,ECH,ECH
Assumption College for Sisters,NJ,ACS,ACS
Atlantic Cape Community College,NJ,ACCC,ACCC
Fortis Institute-Wayne,NJ,FIW,FIW
Bergen Community College,NJ,BCC,BCC
Berkeley College-Woodland Park,NJ,BCWP,BCWP
Beth Medrash Govoha,NJ,BMG,BMG
Bloomfield College of Montclair State University,NJ,BCMSU,BCMSU
Brookdale Community College,NJ,BCC,BCC
Rowan College at Burlington County,NJ,RCBC,RCBC
Caldwell University,NJ,CU,CU
Camden County College,NJ,CCC,CCC
Centenary University,NJ,CU,CU
Adult and Continuing Education-BCTS,NJ,ACEB,ACEB
Lincoln Technical Institute-Iselin,NJ,LTII,LTII
American Institute-Clifton,NJ,AIC,AIC
County College of Morris,NJ,CCM,CCM
Rowan College of South Jersey-Cumberland Campus,NJ,RCSJCC,RCSJCC
Drew University,NJ,DU,DU
Lincoln Technical Institute-South Plainfield,NJ,LTISP,LTISP
Essex County College,NJ,ECC,ECC
Empire Beauty School-Union,NJ,EBSU,EBSU
Fairleigh Dickinson University-Metropolitan Campus,NJ,FDUMC,FDUMC
Felician University,NJ,FU,FU
Fairleigh Dickinson University-Florham Campus,NJ,FDUFC,FDUFC
Hohokus School of Trade and Technical Sciences,NJ,HSTTS,HSTTS
Georgian Court University,NJ,GCU,GCU
Rowan University,NJ,RU,RU
Rowan College of South Jersey-Gloucester Campus,NJ,RCSJGC,RCSJGC
Empire Beauty School-Cherry Hill,NJ,EBSCH,EBSCH
Eastwick College-Ramsey,NJ,ECR,ECR
Holy Name Medical Center-Sister Claire Tynan School of Nursing,NJ,HNMCSCTSN,HNMCSCTSN
Hudson County Community College,NJ,HCCC,HCCC
New Jersey City University,NJ,NJCU,NJCU
Kean University,NJ,KU,KU
Lincoln Technical Institute-Union,NJ,LTIU,LTIU
Rizzieri Aveda School for Beauty and Wellness,NJ,RASBW,RASBW
Mercer County Community College,NJ,MCCC,MCCC
Middlesex College,NJ,MC,MC
Monmouth University,NJ,MU,MU
Montclair State University,NJ,MSU,MSU
JFK Muhlenberg Harold B. and Dorothy A. Snyder Schools,NJ,JMHBDSS,JMHBDSS
Eastwick College-Nutley,NJ,ECN,ECN
New Brunswick Theological Seminary,NJ,NBTS,NBTS
Robert Fiance Beauty Schools-West New York,NJ,RFBSWNY,RFBSWNY
New Jersey Institute of Technology,NJ,NJIT,NJIT
Ocean County College,NJ,OCC,OCC
P B Cosmetology Education Center,NJ,PBCEC,PBCEC
Parisian Beauty School,NJ,PBS,PBS
Passaic County Community College,NJ,PCCC,PCCC
Pennco Tech-Blackwood,NJ,PTB,PTB
Princeton Theological Seminary,NJ,PTS,PTS
Princeton University,NJ,PU,PU
Rabbinical College of America,NJ,RCA,RCA
Ramapo College of New Jersey,NJ,RCNJ,RCNJ
Robert Fiance Beauty Schools,FL,RFBS,RFBS
Rider University,NJ,RU,RU
Rutgers University-Camden,NJ,RUC,RUC
Rutgers University-New Brunswick,NJ,RUNB,RUNB
Rutgers University-Newark,NJ,RUN,RUN
Capital Health School of Radiologic Technology,NJ,CHSRT,CHSRT
Capital Health School of Nursing,NJ,CHSN,CHSN
Saint Peter's University,NJ,SPU,SPU
Salem Community College,NJ,SCC,SCC
Seton Hall University,NJ,SHU,SHU
Shore Beauty School,NJ,SBS,SBS
Saint Elizabeth University,NJ,SEU,SEU
Raritan Valley Community College,NJ,RVCC,RVCC
Stevens Institute of Technology,NJ,SIT,SIT
Stockton University,NJ,SU,SU
Talmudical Academy-New Jersey,NJ,TANJ,TANJ
Aviation Institute of Maintenance-Teterboro,NJ,AIMT,AIMT
Thomas Edison State University,NJ,TESU,TESU
The College of New Jersey,NJ,CNJ,CNJ
UCNJ Union College of Union County New Jersey,NJ,UUCUCNJ,UUCUCNJ
William Paterson University of New Jersey,NJ,WPUNJ,WPUNJ
Central New Mexico Community College,NM,CNMCC,CNMCC
Navajo Technical University,NM,NTU,NTU
New Mexico State University-Dona Ana,NM,NMSUDA,NMSUDA
Clovis Community College,NM,CCC,CCC
Eastern New Mexico University-Main Campus,NM,ENMUMC,ENMUMC
Eastern New Mexico University-Roswell Campus,NM,ENMURC,ENMURC
Institute of American Indian and Alaska Native Culture and Arts Development,NM,IAIANCAD,IAIANCAD
New Mexico Highlands University,NM,NMHU,NMHU
New Mexico Junior College,NM,NMJC,NMJC
New Mexico Military Institute,NM,NMMI,NMMI
University of New Mexico-Gallup Campus,NM,UNMGC,UNMGC
New Mexico Institute of Mining and Technology,NM,NMIMT,NMIMT
University of New Mexico-Los Alamos Campus,NM,UNMLAC,UNMLAC
University of New Mexico-Main Campus,NM,UNMMC,UNMMC
New Mexico State University-Alamogordo,NM,NMSUA,NMSUA
Southeast New Mexico College,NM,SNMC,SNMC
New Mexico State University-Grants,NM,NMSUG,NMSUG
New Mexico State University-Main Campus,NM,NMSUMC,NMSUMC
University of New Mexico-Valencia County Campus,NM,UNMVCC,UNMVCC
Northern New Mexico College,NM,NNMC,NNMC
San Juan College,NM,SJC,SJC
Santa Fe Community College,NM,SFCC,SFCC
University of the Southwest,NM,US,US
Southwestern Indian Polytechnic Institute,NM,SIPI,SIPI
University of New Mexico-Taos Campus,NM,UNMTC,UNMTC
Mesalands Community College,NM,MCC,MCC
Vogue College of Cosmetology-Santa Fe,NM,VCCSF,VCCSF
Western New Mexico University,NM,WNMU,WNMU
Vaughn College of Aeronautics and Technology,NY,VCAT,VCAT
Adelphi University,NY,AU,AU
SUNY Adirondack,NY,SA,SA
Bryant & Stratton College-Albany,NY,BSCA,BSCA
Albany College of Pharmacy and Health Sciences,NY,ACPHS,ACPHS
Albany Law School,NY,ALS,ALS
Albany Medical College,NY,AMC,AMC
Alfred University,NY,AU,AU
Allen School-Brooklyn,NY,ASB,ASB
The Ailey School,NY,AS,AS
American Academy of Dramatic Arts-New York,NY,AADANY,AADANY
American Academy McAllister Institute of Funeral Service,NY,AAMIFS,AAMIFS
American Musical and Dramatic Academy,NY,AMDA,AMDA
Apex Technical School,NY,ATS,ATS
Arnot Ogden Medical Center,NY,AOMC,AOMC
Associated Beth Rivkah Schools,NY,ABRS,ABRS
Bank Street College of Education,NY,BSCE,BSCE
Bard College,NY,BC,BC
Barnard College,NY,BC,BC
Berk Trade and Business School,NY,BTBS,BTBS
Berkeley College-New York,NY,BCNY,BCNY
Berkowits School of Electrolysis,NY,BSE,BSE
Beth Hamedrash Shaarei Yosher Institute,NY,BHSYI,BHSYI
Mount Sinai Phillips School of Nursing,NY,MSPSN,MSPSN
Brittany Beauty Academy,NY,BBA,BBA
Boricua College,NY,BC,BC
American Beauty School,NY,ABS,ABS
Brooklyn Law School,NY,BLS,BLS
SUNY Broome Community College,NY,SBCC,SBCC
Bryant & Stratton College-Syracuse North,NY,BSCSN,BSCSN
Bryant & Stratton College-Buffalo,NY,BSCB,BSCB
Bryant & Stratton College-Greece,NY,BSCG,BSCG
Canisius University,NY,CU,CU
Capri Cosmetology Learning Centers,NY,CCLC,CCLC
St Paul's School of Nursing-Queens,NY,SPSNQ,SPSNQ
Cayuga County Community College,NY,CCCC,CCCC
Central Yeshiva Tomchei Tmimim Lubavitz,NY,CYTTL,CYTTL
Christine Valmy International School for Esthetics Skin Care & Makeup,NY,CVISESCM,CVISESCM
Circle in the Square Theatre School,NY,CSTS,CSTS
Clarkson University,NY,CU,CU
Clinton Community College,NY,CCC,CCC
Cochran School of Nursing,NY,CSN,CSN
Colgate Rochester Crozer Divinity School,NY,CRCDS,CRCDS
Colgate University,NY,CU,CU
Metropolitan College of New York,NY,MCNY,MCNY
Columbia University,NY,CU,Columbia
Columbia-Greene Community College,NY,CGCC,CGCC
Empire Beauty School-Queens,NY,EBSQ,EBSQ
Continental School of Beauty Culture-Rochester,NY,CSBCR,CSBCR
The Cooper Union for the Advancement of Science and Art,NY,CUASA,CUASA
Cornell University,NY,CU,CU
Weill Medical College of Cornell University,NY,WMCCU,WMCCU
SUNY Corning Community College,NY,SCCC,SCCC
Pomeroy College of Nursing at Crouse Hospital,NY,PCNCH,PCNCH
Culinary Institute of America,NY,CIA,CIA
CUNY Bernard M Baruch College,NY,CBMBC,CBMBC
CUNY Borough of Manhattan Community College,NY,CBMCC,CBMCC
CUNY Bronx Community College,NY,CBCC,CBCC
CUNY Brooklyn College,NY,CBC,CBC
College of Staten Island CUNY,NY,CSIC,CSIC
CUNY City College,NY,CCC,CCC
CUNY Graduate School and University Center,NY,CGSUC,CGSUC
CUNY Hostos Community College,NY,CHCC,CHCC
CUNY Hunter College,NY,CHC,CHC
CUNY John Jay College of Criminal Justice,NY,CJJCCJ,CJJCCJ
CUNY Kingsborough Community College,NY,CKCC,CKCC
CUNY LaGuardia Community College,NY,CLCC,CLCC
CUNY Lehman College,NY,CLC,CLC
CUNY Medgar Evers College,NY,CMEC,CMEC
CUNY New York City College of Technology,NY,CNYCCT,CNYCCT
CUNY Queens College,NY,CQC,CQC
CUNY Queensborough Community College,NY,CQCC,CQCC
CUNY School of Law,NY,CSL,CSL
CUNY York College,NY,CYC,CYC
CVPH Medical Center School of Radiologic Technology,NY,CMCSRT,CMCSRT
D'Youville  University,NY,DU,DU
Daemen University,NY,DU,DU
Yeshiva of Far Rockaway Derech Ayson Rabbinical Seminary,NY,YFRDARS,YFRDARS
Dominican University New York,NY,DUNY,DUNY
Dutchess Community College,NY,DCC,DCC
Belanger School of Nursing,NY,BSN,BSN
Elmira College,NY,EC,EC
Erie Community College,NY,ECC,ECC
Fashion Institute of Technology,NY,FIT,FIT
Finger Lakes Community College,NY,FLCC,FLCC
Five Towns College,NY,FTC,FTC
Fordham University,NY,FU,Fordham
Fulton-Montgomery Community College,NY,FMCC,FMCC
Gemological Institute of America-New York,NY,GIANY,GIANY
Genesee Community College,NY,GCC,GCC
Hamilton College,NY,HC,HC
Hartwick College,NY,HC,HC
Helene Fuld College of Nursing,NY,HFCN,HFCN
Herkimer County Community College,NY,HCCC,HCCC
Hilbert College,NY,HC,HC
Hobart William Smith Colleges,NY,HWSC,HWSC
Hofstra University,NY,HU,HU
Houghton University,NY,HU,HU
Hudson Valley Community College,NY,HVCC,HVCC
Hunter Business School,NY,HBS,HBS
Iona University,NY,IU,IU
Isabella Graham Hart School of Practical Nursing,NY,IGHSPN,IGHSPN
Ithaca College,NY,IC,IC
Jamestown Community College,NY,JCC,JCC
Jefferson Community College,NY,JCC,JCC
Jewish Theological Seminary of America,NY,JTSA,JTSA
The Juilliard School,NY,JS,JS
Kehilath Yakov Rabbinical Seminary,NY,KYRS,KYRS
Keuka College,NY,KC,KC
LIM College,NY,LC,LC
Le Moyne College,NY,LMC,LMC
Long Island University,NY,LIU,LIU
Long Island Beauty School-Hempstead,NY,LIBSH,LIBSH
Machzikei Hadath Rabbinical College,NY,MHRC,MHRC
Mandl School-The College of Allied Health,NY,MSCAH,MSCAH
Manhattan University,NY,MU,MU
Manhattan School of Music,NY,MSM,MSM
Manhattanville University,NY,MU,MU
Maria College of Albany,NY,MCA,MCA
Marion S Whelan School of Nursing of Geneva General Hospital,NY,MSWSNGGH,MSWSNGGH
Marist University,NY,MU,MU
Marymount Manhattan College,NY,MMC,MMC
St. Peter's Hospital College of Nursing,NY,SPHCN,SPHCN
Mercy University,NY,MU,MU
Mesivta Torah Vodaath Rabbinical Seminary,NY,MTVRS,MTVRS
Mesivta of Eastern Parkway-Yeshiva Zichron Meilech,NY,MEPYZM,MEPYZM
Mesivtha Tifereth Jerusalem of America,NY,MTJA,MTJA
Mildred Elley School-Albany Campus,NY,MESAC,MESAC
Mirrer Yeshiva Cent Institute,NY,MYCI,MYCI
Modern Welding School,NY,MWS,MWS
Mohawk Valley Community College,NY,MVCC,MVCC
Molloy University,NY,MU,MU
Monroe University,NY,MU,MU
Monroe Community College,NY,MCC,MCC
Mount Saint Mary College,NY,MSMC,MSMC
Montefiore School of Nursing,NY,MSN,MSN
University of Mount Saint Vincent,NY,UMSV,UMSV
Icahn School of Medicine at Mount Sinai,NY,ISMMS,ISMMS
Nassau Community College,NY,NCC,NCC
Nazareth University,NY,NU,NU
Neighborhood Playhouse School of the Theater,NY,NPST,NPST
The New School,NY,NS,The New School
Northeast College of Health Sciences,NY,NCHS,NCHS
New York Law School,NY,NYLS,NYLS
New York Medical College,NY,NYMC,NYMC
New York School for Medical and Dental Assistants,NY,NYSMDA,NYSMDA
New York University,NY,NYU,NYU
Niagara County Community College,NY,NCCC,NCCC
Niagara University,NY,NU,NU
Empire Beauty School-Peekskill,NY,EBSP,EBSP
North Country Community College,NY,NCCC,NCCC
New York College of Podiatric Medicine,NY,NYCPM,NYCPM
New York Institute of Technology,NY,NYIT,NYIT
New York School of Interior Design,NY,NYSID,NYSID
Ohr Hameir Theological Seminary,NY,OHTS,OHTS
Onondaga Community College,NY,OCC,OCC
Orange County Community College,NY,OCCC,OCCC
Otsego Area BOCES-Practical Nursing Program,NY,OABPNP,OABPNP
Pace University,NY,PU,Pace
Paul Smiths College of Arts and Science,NY,PSCAS,PSCAS
Continental School of Beauty Culture-West Seneca,NY,CSBCWS,CSBCWS
Plaza College,NY,PC,PC
Davis College,NY,DC,DC
Pratt Institute-Main,NY,PIM,PIM
Rabbinical Academy Mesivta Rabbi Chaim Berlin,NY,RAMRCB,RAMRCB
Rabbinical College Bobover Yeshiva Bnei Zion,NY,RCBYBZ,RCBYBZ
Rabbinical College Beth Shraga,NY,RCBS,RCBS
Rabbinical Seminary Mkor Chaim,NJ,RSMC,RSMC
Rabbinical College of Long Island,NY,RCLI,RCLI
Rabbinical Seminary of America,NY,RSA,RSA
Rensselaer Polytechnic Institute,NY,RPI,RPI
Roberts Wesleyan University,NY,RWU,RWU
Rochester Institute of Technology,NY,RIT,RIT
University of Rochester,NY,UR,UR
The Rockefeller University,NY,RU,RU
Rockland Community College,NY,RCC,RCC
